PLAYER,TEAM,GP,W,L,MP,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH, PTS PER TOUCH, ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH, PTS PER PAINT TOUCH,SEASON
Tristan Thompson,CHICAGO BULLS,56,19,37,15.8,6.1,21.0,13.0,0.7,1.88,0.62,0.29,2.4,0.7,4.5,0.548,0.683,0.833,2022
Troy Brown Jr.,CHICAGO BULLS,66,37,29,16.0,4.3,19.1,9.9,0.6,1.93,1.18,0.224,0.3,0.0,0.9,0.8,0.0,0.712,2022
Ty Jerome,OKLAHOMA CITY THUNDER,48,15,33,16.7,7.1,34.5,18.6,2.1,3.69,3.08,0.206,0.2,0.0,0.4,0.0,0.0,0.85,2022
Tyler Cook,CHICAGO BULLS,20,13,7,10.0,3.4,10.7,5.8,0.3,1.61,0.4,0.315,1.3,0.1,2.1,0.76,1.0,0.905,2022
Tyler Hall,NEW YORK KNICKS,1,1,0,1.9,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Tyler Herro,MIAMI HEAT,66,44,22,32.6,20.7,65.3,30.6,4.7,4.32,3.83,0.317,0.5,0.0,1.0,1.0,0.0,1.121,2022
Tyler Johnson,SAN ANTONIO SPURS,6,2,4,15.2,2.8,25.7,14.8,1.2,2.78,2.26,0.11,0.5,0.0,0.0,0.0,0.0,0.0,2022
Tyrell Terry,MEMPHIS GRIZZLIES,2,2,0,1.5,1.0,2.0,0.5,0.2,5.5,4.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2022
Tyrese Haliburton,INDIANA PACERS,76,25,51,35.0,15.4,81.3,33.4,6.0,4.41,3.74,0.189,0.3,0.0,0.7,0.435,0.0,0.471,2022
Tyrese Maxey,PHILADELPHIA 76ERS,75,45,30,35.3,17.5,78.6,31.5,5.8,4.45,3.81,0.222,0.2,0.0,0.4,0.538,0.0,0.593,2022
Tyrone Wallace,NEW ORLEANS PELICANS,6,4,2,12.5,2.8,14.5,8.5,0.6,2.69,2.0,0.195,0.3,0.0,0.5,1.0,0.0,1.333,2022
Tyus Jones,MEMPHIS GRIZZLIES,72,50,22,21.2,8.6,46.4,17.7,3.8,4.95,4.51,0.185,0.2,0.0,0.2,0.867,0.0,0.733,2022
Udoka Azubuike,UTAH JAZZ,17,11,6,11.5,4.7,9.1,5.7,0.2,1.39,0.29,0.519,0.4,0.1,3.9,1.143,0.0,1.061,2022
Udonis Haslem,MIAMI HEAT,13,10,3,6.4,2.5,9.2,5.4,0.3,1.66,0.39,0.267,0.9,0.2,1.8,0.583,1.0,0.958,2022
Usman Garuba,HOUSTON ROCKETS,24,2,22,10.0,2.0,14.1,5.7,0.3,1.37,0.5,0.142,0.5,0.0,1.5,0.273,0.0,0.649,2022
Vernon Carey Jr.,WASHINGTON WIZARDS,7,3,4,6.3,2.9,8.0,6.4,0.2,1.84,0.8,0.357,1.1,0.3,2.1,0.125,1.0,0.933,2022
Victor Oladipo,MIAMI HEAT,8,4,4,21.6,12.4,42.8,19.5,2.8,3.96,3.5,0.289,0.1,0.0,0.5,0.0,0.0,0.5,2022
Vit Krejci,OKLAHOMA CITY THUNDER,30,8,22,23.0,6.2,33.5,22.3,1.5,2.62,1.93,0.186,0.3,0.0,1.0,0.6,0.0,0.567,2022
Vlatko Cancar,DENVER NUGGETS,15,7,8,11.8,4.1,16.6,11.1,0.5,1.64,0.73,0.249,1.5,0.1,1.7,0.318,0.0,0.846,2022
Wayne Ellington,LOS ANGELES LAKERS,43,15,28,18.8,6.7,20.3,15.1,0.6,1.63,0.86,0.328,0.1,0.0,0.2,0.4,0.0,0.444,2022
Wayne Selden,NEW YORK KNICKS,3,2,1,6.4,1.7,5.0,3.7,0.3,3.01,1.93,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2022
Wendell Carter Jr.,ORLANDO MAGIC,62,16,46,29.9,15.0,60.6,36.5,1.8,1.75,0.5,0.248,4.7,1.5,6.3,0.438,0.469,0.928,2022
Wenyen Gabriel,LOS ANGELES LAKERS,25,8,17,14.3,5.6,17.0,9.4,0.5,1.62,0.67,0.331,1.2,0.1,3.2,0.433,0.667,0.797,2022
Wes Iwundu,ATLANTA HAWKS,3,2,1,27.4,7.3,30.0,14.7,0.9,1.82,0.94,0.244,0.0,0.0,0.3,0.0,0.0,0.0,2022
Wesley Matthews,MILWAUKEE BUCKS,49,33,16,20.5,5.1,17.0,11.8,0.4,1.52,0.62,0.3,0.2,0.0,1.1,0.7,0.0,0.636,2022
Will Barton,DENVER NUGGETS,71,41,30,32.1,14.7,54.1,31.9,3.1,3.44,2.54,0.272,0.9,0.1,1.5,0.621,0.4,0.771,2022
Willie Cauley-Stein,PHILADELPHIA 76ERS,20,12,8,9.1,1.7,12.0,6.3,0.3,1.38,0.48,0.142,1.0,0.1,2.2,0.211,0.0,0.535,2022
Willy Hernangomez,NEW ORLEANS PELICANS,50,22,28,16.8,9.1,35.3,22.4,0.9,1.51,0.5,0.256,2.9,1.6,6.7,0.51,0.524,0.817,2022
Xavier Moon,LOS ANGELES CLIPPERS,10,7,3,13.7,5.8,30.8,10.5,2.2,4.36,4.16,0.188,0.0,0.0,0.1,0.0,0.0,0.0,2022
Xavier Sneed,UTAH JAZZ,9,7,2,4.3,0.6,4.1,2.6,0.1,1.51,0.54,0.135,0.0,0.0,0.2,0.0,0.0,0.0,2022
Xavier Tillman,MEMPHIS GRIZZLIES,53,35,18,13.2,4.8,22.6,13.0,0.7,1.74,0.63,0.211,2.7,0.5,2.8,0.312,0.44,0.762,2022
Yuta Watanabe,TORONTO RAPTORS,38,21,17,11.7,4.3,16.0,9.1,0.5,1.81,1.07,0.269,0.3,0.0,0.8,0.909,0.0,0.667,2022
Yves Pons,MEMPHIS GRIZZLIES,12,9,3,5.9,1.1,4.7,3.1,0.1,1.56,0.68,0.232,0.2,0.0,0.6,0.0,0.0,0.571,2022
Zach Collins,SAN ANTONIO SPURS,28,14,14,17.9,7.8,31.6,20.8,1.0,1.82,0.56,0.247,3.1,1.9,4.7,0.602,0.528,0.606,2022
Zach LaVine,CHICAGO BULLS,67,37,30,34.7,24.4,61.4,31.2,4.5,4.38,3.75,0.397,0.8,0.4,1.1,0.909,0.538,1.053,2022
Zavier Simpson,OKLAHOMA CITY THUNDER,4,1,3,43.5,11.0,113.3,45.3,8.5,4.49,4.31,0.097,0.5,0.0,0.0,0.0,0.0,0.0,2022
Zeke Nnaji,DENVER NUGGETS,41,24,17,17.0,6.6,18.0,11.0,0.4,1.34,0.35,0.365,1.0,0.1,2.6,0.513,0.0,0.944,2022
Ziaire Williams,MEMPHIS GRIZZLIES,61,40,21,21.7,8.0,19.8,13.5,0.6,1.91,1.25,0.404,0.4,0.0,1.2,0.815,0.667,1.224,2022
Zylan Cheatham,UTAH JAZZ,1,0,1,5.2,0.0,6.0,4.0,0.1,1.15,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
AJ Green,MILWAUKEE BUCKS,35,27,8,9.9,4.4,12.1,7.4,0.5,2.53,1.74,0.364,0.1,0.0,0.3,0.0,0.0,0.667,2023
AJ Griffin,ATLANTA HAWKS,72,34,38,19.5,8.9,21.1,14.2,0.7,2.09,1.51,0.421,0.4,0.0,0.7,0.806,2.0,0.94,2023
Aaron Gordon,DENVER NUGGETS,68,45,23,30.2,16.3,42.5,23.9,2.1,2.95,2.1,0.384,1.8,2.2,6.7,0.479,0.707,1.179,2023
Aaron Holiday,ATLANTA HAWKS,63,32,31,13.4,3.9,20.5,8.0,1.4,4.21,3.87,0.191,0.1,0.0,0.4,0.25,0.0,0.609,2023
Aaron Nesmith,INDIANA PACERS,73,30,43,24.9,10.1,36.1,20.8,1.0,1.68,0.81,0.28,0.4,0.0,1.1,0.759,0.0,0.792,2023
Aaron Wiggins,OKLAHOMA CITY THUNDER,70,37,33,18.5,6.8,20.9,13.0,0.7,1.9,1.25,0.327,0.5,0.0,2.1,0.421,1.0,0.9,2023
Admiral Schofield,ORLANDO MAGIC,37,14,23,12.2,4.2,19.3,9.6,0.6,1.83,0.91,0.217,0.6,0.0,1.1,0.571,0.0,0.78,2023
Al Horford,BOSTON CELTICS,63,44,19,30.5,9.8,45.7,25.4,1.2,1.53,0.48,0.214,1.1,0.9,2.7,0.268,0.386,0.553,2023
Alec Burks,DETROIT PISTONS,50,12,38,22.0,12.9,34.6,21.2,1.7,3.03,2.34,0.374,0.3,0.3,0.4,0.625,0.533,0.611,2023
Aleksej Pokusevski,OKLAHOMA CITY THUNDER,34,16,18,20.6,8.1,41.7,22.7,1.1,1.6,0.75,0.195,1.6,0.0,3.1,0.63,0.0,0.71,2023
Alex Caruso,CHICAGO BULLS,66,32,34,23.5,5.6,42.1,17.3,1.8,2.6,1.84,0.134,0.7,0.0,1.3,0.286,0.0,0.624,2023
Alex Len,SACRAMENTO KINGS,26,15,11,6.2,1.7,9.8,5.4,0.2,1.46,0.39,0.169,1.2,0.1,1.9,0.323,0.0,0.64,2023
Alize Johnson,SAN ANTONIO SPURS,4,1,3,7.4,1.8,11.5,5.5,0.5,2.7,1.98,0.152,0.0,0.3,1.0,0.0,0.0,0.0,2023
Alondes Williams,,1,1,0,5.3,0.0,9.0,3.0,0.4,2.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Alperen Sengun,HOUSTON ROCKETS,75,18,57,28.9,14.8,56.0,38.5,2.3,2.42,1.25,0.264,5.1,4.3,6.9,0.517,0.532,0.759,2023
Amir Coffey,LOS ANGELES CLIPPERS,50,26,24,12.5,3.4,13.6,10.1,0.6,2.5,1.66,0.253,0.1,0.0,0.2,0.429,0.0,0.333,2023
Andre Drummond,CHICAGO BULLS,67,32,35,12.7,6.0,17.2,10.5,0.4,1.42,0.48,0.346,1.6,0.4,4.4,0.636,0.8,0.956,2023
Andre Iguodala,GOLDEN STATE WARRIORS,7,2,5,13.5,1.7,24.4,13.3,0.7,1.76,0.68,0.07,0.7,0.0,1.3,0.4,0.0,0.889,2023
Andrew Nembhard,INDIANA PACERS,75,32,43,27.6,9.5,49.3,23.7,3.0,3.65,3.32,0.192,0.4,0.1,0.6,0.452,0.0,0.532,2023
Andrew Wiggins,GOLDEN STATE WARRIORS,36,18,18,32.3,17.1,46.2,31.6,1.8,2.28,1.48,0.371,0.7,1.7,3.3,0.808,0.581,0.992,2023
Anfernee Simons,PORTLAND TRAIL BLAZERS,62,27,35,35.0,21.1,67.4,32.3,5.4,4.78,4.18,0.312,0.3,0.0,0.6,0.95,0.0,0.842,2023
Anthony Davis,LOS ANGELES LAKERS,56,31,25,34.0,25.9,68.5,38.2,2.5,2.16,0.91,0.378,5.3,5.2,10.6,0.746,0.697,1.188,2023
Anthony Edwards,MINNESOTA TIMBERWOLVES,78,39,39,36.1,24.5,71.4,37.1,4.7,3.99,3.44,0.344,0.6,0.6,0.9,0.953,0.674,1.0,2023
Anthony Gill,WASHINGTON WIZARDS,59,21,38,10.6,3.3,11.1,7.3,0.3,1.77,0.77,0.297,0.4,0.0,1.3,0.538,1.0,1.192,2023
Anthony Lamb,GOLDEN STATE WARRIORS,61,35,26,19.2,6.6,32.6,17.5,1.0,1.81,0.95,0.202,0.6,0.3,1.8,0.395,0.0,0.579,2023
Austin Reaves,LOS ANGELES LAKERS,64,35,29,28.8,13.0,41.9,21.8,2.5,3.59,3.1,0.311,0.5,0.0,0.9,0.4,0.0,0.709,2023
Austin Rivers,MINNESOTA TIMBERWOLVES,52,25,27,19.5,4.9,22.8,13.3,1.1,3.0,2.37,0.215,0.1,0.0,0.1,1.0,0.0,0.571,2023
Ayo Dosunmu,CHICAGO BULLS,79,39,40,26.2,8.5,42.7,16.6,2.5,3.44,3.14,0.2,0.2,0.0,0.6,0.875,0.0,0.96,2023
Bam Adebayo,MIAMI HEAT,75,40,35,34.6,20.4,61.9,36.2,2.9,2.85,1.59,0.33,6.8,2.7,7.7,0.684,0.631,0.874,2023
Ben Simmons,,42,24,18,26.3,6.9,61.4,21.5,3.5,3.42,2.35,0.113,2.3,1.1,4.0,0.344,0.444,0.846,2023
Bennedict Mathurin,INDIANA PACERS,78,33,45,28.5,16.7,42.0,28.6,1.7,2.49,1.69,0.398,1.1,0.1,1.7,0.869,0.273,1.052,2023
Bismack Biyombo,,61,33,28,14.3,4.3,23.1,13.4,0.6,1.57,0.47,0.187,2.4,0.9,5.0,0.385,0.5,0.674,2023
Blake Griffin,BOSTON CELTICS,41,27,14,13.9,4.1,20.5,12.4,0.6,1.68,0.65,0.202,1.1,0.3,2.2,0.587,0.571,0.753,2023
Blake Wesley,SAN ANTONIO SPURS,34,8,26,18.0,4.9,36.2,12.9,2.9,4.84,4.46,0.135,0.3,0.0,0.8,0.444,0.0,0.462,2023
Boban Marjanovic,HOUSTON ROCKETS,31,7,24,5.5,3.3,7.3,4.8,0.3,2.08,0.85,0.453,0.7,1.5,1.7,0.773,0.935,1.245,2023
Bobby Portis,MILWAUKEE BUCKS,70,47,23,26.0,14.1,49.5,25.0,1.5,1.76,0.74,0.285,1.3,3.0,4.2,0.606,0.611,0.887,2023
Bogdan Bogdanovic,ATLANTA HAWKS,54,27,27,27.9,14.0,40.5,25.0,1.8,2.69,1.9,0.346,0.6,0.1,0.5,0.516,0.667,0.72,2023
Bojan Bogdanovic,DETROIT PISTONS,58,15,43,32.0,21.5,46.6,33.0,2.3,2.97,2.15,0.462,0.8,1.0,0.8,0.955,0.483,0.816,2023
Bol Bol,ORLANDO MAGIC,70,26,44,21.5,9.1,23.4,13.2,0.9,2.32,1.56,0.387,0.4,0.2,1.9,1.1,0.818,1.439,2023
Bones Hyland,LOS ANGELES CLIPPERS,56,36,20,19.4,11.8,45.7,19.2,3.6,4.75,4.09,0.258,0.2,0.0,0.4,0.727,0.0,0.762,2023
Bradley Beal,WASHINGTON WIZARDS,50,24,26,33.5,23.2,67.9,39.2,5.1,4.52,4.07,0.342,1.9,0.6,1.6,0.638,0.438,0.938,2023
Brandon Boston Jr.,LOS ANGELES CLIPPERS,22,9,13,11.3,6.5,19.5,11.1,1.0,2.95,2.61,0.333,0.1,0.1,0.5,1.0,0.667,0.5,2023
Brandon Clarke,MEMPHIS GRIZZLIES,56,32,24,19.5,10.0,28.5,17.8,0.7,1.52,0.65,0.35,4.3,0.2,5.4,0.554,0.444,1.095,2023
Brandon Ingram,NEW ORLEANS PELICANS,45,23,22,34.2,24.7,66.1,38.4,4.5,4.07,3.11,0.374,2.1,1.5,1.0,0.691,0.824,0.696,2023
Braxton Key,DETROIT PISTONS,3,0,3,3.0,1.3,3.3,1.3,0.1,1.56,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2023
Brook Lopez,MILWAUKEE BUCKS,78,57,21,30.4,15.9,34.3,23.5,0.8,1.43,0.43,0.463,2.5,1.7,5.8,0.559,1.037,1.162,2023
Bruce Brown,DENVER NUGGETS,80,53,27,28.5,11.5,51.6,24.7,3.0,3.54,2.91,0.224,0.8,0.1,1.9,0.909,1.0,0.913,2023
Bruno Fernando,ATLANTA HAWKS,39,13,26,10.4,3.9,18.4,10.8,0.4,1.41,0.49,0.213,1.3,0.2,3.4,0.34,0.667,0.863,2023
Bryce McGowens,,46,16,30,17.1,5.3,19.0,12.5,0.8,2.39,1.51,0.282,0.1,0.0,0.6,0.4,0.0,0.808,2023
Bryn Forbes,MINNESOTA TIMBERWOLVES,25,9,16,10.7,3.6,11.9,8.9,0.4,2.06,1.31,0.3,0.0,0.0,0.1,0.0,0.0,1.0,2023
Buddy Boeheim,DETROIT PISTONS,10,2,8,9.0,1.6,8.7,5.2,0.2,1.33,0.41,0.184,0.0,0.0,0.1,0.0,0.0,2.0,2023
Buddy Hield,INDIANA PACERS,80,35,45,31.0,16.8,58.7,34.0,2.0,2.03,1.33,0.286,0.4,0.0,0.9,0.8,0.0,0.941,2023
CJ McCollum,NEW ORLEANS PELICANS,75,38,37,35.3,20.9,75.1,32.7,5.5,4.37,3.88,0.278,0.8,0.1,0.6,0.6,0.0,0.644,2023
Cade Cunningham,DETROIT PISTONS,12,3,9,33.3,19.9,78.3,24.8,7.0,5.37,4.99,0.255,0.3,0.4,0.9,1.0,0.6,0.909,2023
Caleb Houstan,ORLANDO MAGIC,51,20,31,15.9,3.8,13.9,8.5,0.3,1.4,0.44,0.271,0.1,0.0,0.7,0.0,0.0,0.686,2023
Caleb Martin,MIAMI HEAT,71,38,33,29.3,9.6,38.9,21.7,1.6,2.5,1.62,0.247,0.7,0.1,2.3,0.809,0.0,0.652,2023
Cam Reddish,PORTLAND TRAIL BLAZERS,40,14,26,24.7,9.7,28.5,17.8,1.5,3.1,2.17,0.34,0.6,0.0,0.7,0.783,0.0,1.138,2023
Cam Thomas,,57,30,27,16.6,10.6,28.9,13.4,2.4,4.88,4.34,0.366,0.4,0.0,0.2,1.0,0.0,1.231,2023
Cameron Johnson,,42,25,17,28.6,15.5,39.5,25.6,1.5,2.25,1.67,0.392,0.6,0.0,1.2,0.4,0.0,1.0,2023
Cameron Payne,,48,27,21,20.2,10.3,49.6,17.4,4.1,5.01,4.4,0.207,0.1,0.0,0.2,0.667,0.0,0.8,2023
Caris LeVert,CLEVELAND CAVALIERS,74,45,29,30.2,12.1,47.1,27.7,2.8,3.58,3.01,0.257,0.6,0.1,1.0,0.5,0.0,0.5,2023
Carlik Jones,CHICAGO BULLS,6,3,3,9.1,3.0,14.3,6.0,1.0,4.23,3.87,0.209,0.0,0.0,0.2,0.0,0.0,0.0,2023
Cedi Osman,CLEVELAND CAVALIERS,77,48,29,20.1,8.7,28.2,19.3,1.1,2.36,1.55,0.309,0.4,0.0,0.8,0.815,0.0,0.831,2023
Chance Comanche,PORTLAND TRAIL BLAZERS,1,0,1,20.8,7.0,24.0,9.0,0.8,1.94,0.46,0.292,3.0,0.0,3.0,1.333,0.0,0.667,2023
Charles Bassey,SAN ANTONIO SPURS,35,9,26,14.5,5.7,24.9,14.2,0.6,1.49,0.42,0.228,1.9,0.4,4.7,0.424,0.769,0.976,2023
Chima Moneke,SACRAMENTO KINGS,2,1,1,4.0,1.0,6.5,5.0,0.1,1.12,0.54,0.154,0.5,0.0,1.5,0.0,0.0,0.667,2023
Chimezie Metu,SACRAMENTO KINGS,66,41,25,10.4,4.9,15.6,9.2,0.5,1.78,0.8,0.311,1.3,0.4,2.7,0.482,0.625,1.079,2023
Chris Boucher,TORONTO RAPTORS,76,39,37,20.0,9.4,23.4,12.3,0.7,1.68,0.6,0.4,0.5,0.1,3.9,0.811,0.0,1.074,2023
Chris Duarte,INDIANA PACERS,46,19,27,19.5,7.9,29.1,18.9,1.1,2.2,1.54,0.27,0.3,0.0,0.5,0.833,0.0,0.87,2023
Chris Paul,,59,33,26,32.0,13.9,74.5,27.1,6.9,5.59,4.79,0.186,0.3,0.2,0.3,0.188,0.333,0.368,2023
Chris Silva,DALLAS MAVERICKS,1,1,0,3.0,2.0,4.0,1.0,0.1,2.21,1.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,2023
Christian Braun,DENVER NUGGETS,76,49,27,15.5,4.7,18.3,10.6,0.7,2.17,1.24,0.259,0.4,0.0,1.1,0.679,0.0,0.663,2023
Christian Koloko,TORONTO RAPTORS,58,29,29,13.8,3.1,14.7,9.4,0.3,1.2,0.27,0.214,0.9,0.1,3.1,0.364,0.667,0.819,2023
Christian Wood,DALLAS MAVERICKS,67,33,34,25.9,16.6,46.0,26.0,1.7,2.27,1.04,0.361,2.2,1.9,4.2,0.641,0.729,1.014,2023
Chuma Okeke,ORLANDO MAGIC,27,8,19,19.2,4.7,24.1,12.7,0.8,2.05,1.25,0.197,0.2,0.0,0.8,0.4,1.0,0.524,2023
Clint Capela,ATLANTA HAWKS,65,35,30,26.6,12.0,37.0,18.0,0.8,1.3,0.27,0.324,2.5,0.5,10.1,0.553,0.686,1.026,2023
Coby White,CHICAGO BULLS,73,36,37,23.5,9.7,38.4,18.6,2.2,3.38,2.69,0.252,0.1,0.0,0.2,0.667,0.0,0.538,2023
Cody Martin,,7,2,5,19.1,5.0,21.4,13.3,0.9,2.56,1.66,0.233,0.1,0.0,1.1,0.0,0.0,0.5,2023
Cody Zeller,MIAMI HEAT,15,6,9,14.4,6.5,23.0,14.6,0.7,1.77,0.64,0.284,2.6,0.1,4.2,0.667,0.0,0.746,2023
Cole Anthony,ORLANDO MAGIC,60,28,32,25.9,13.0,52.9,18.9,4.1,4.71,4.1,0.246,0.4,0.0,1.0,0.68,0.0,0.793,2023
Cole Swider,LOS ANGELES LAKERS,7,2,5,5.9,1.3,8.0,4.4,0.2,1.76,0.7,0.161,0.0,0.0,0.3,0.0,0.0,0.0,2023
Collin Sexton,UTAH JAZZ,48,24,24,23.9,14.3,45.9,19.3,3.7,4.85,4.31,0.311,0.4,0.0,1.2,0.526,0.0,0.881,2023
Corey Kispert,WASHINGTON WIZARDS,74,31,43,28.3,11.1,32.6,20.1,0.8,1.5,0.64,0.339,0.5,0.0,1.1,0.824,0.0,0.878,2023
Cory Joseph,DETROIT PISTONS,62,12,50,19.8,6.9,40.5,15.5,3.3,4.9,4.96,0.17,0.2,0.0,0.3,0.2,0.0,0.6,2023
D'Angelo Russell,LOS ANGELES LAKERS,71,39,32,32.5,17.8,79.2,34.1,5.4,4.09,3.43,0.225,0.5,0.1,0.7,0.838,0.8,0.769,2023
Daishen Nix,HOUSTON ROCKETS,57,15,42,16.0,4.0,36.0,14.6,2.7,4.49,4.32,0.11,0.1,0.0,0.2,1.0,0.0,0.692,2023
Dalano Banton,TORONTO RAPTORS,31,17,14,9.0,4.6,20.6,9.5,1.3,3.77,2.86,0.223,0.1,0.0,0.7,1.0,0.0,1.304,2023
Dalen Terry,CHICAGO BULLS,37,18,19,5.8,2.2,8.4,4.2,0.4,2.73,2.17,0.268,0.1,0.0,0.4,0.0,0.0,0.308,2023
Damian Jones,UTAH JAZZ,41,12,29,11.6,3.5,11.8,6.9,0.3,1.29,0.3,0.293,0.8,0.1,2.6,0.176,1.0,0.935,2023
Damian Lillard,PORTLAND TRAIL BLAZERS,58,27,31,36.3,32.2,88.1,37.4,7.6,5.16,4.57,0.365,0.4,0.1,0.6,0.625,1.0,0.556,2023
Damion Lee,,74,40,34,20.4,8.2,28.6,17.2,1.1,2.33,1.61,0.285,0.3,0.0,0.5,0.522,0.0,0.6,2023
Daniel Gafford,WASHINGTON WIZARDS,78,32,46,20.6,9.0,29.2,16.3,0.7,1.51,0.35,0.309,2.1,0.4,5.4,0.623,0.629,1.19,2023
Daniel Theis,INDIANA PACERS,7,1,6,15.5,7.0,23.7,18.0,0.6,1.51,0.39,0.295,2.1,0.1,3.4,0.8,0.0,0.917,2023
Danny Green,CLEVELAND CAVALIERS,11,6,5,12.6,5.5,18.8,11.7,0.5,1.63,0.84,0.295,0.1,0.0,0.5,0.0,0.0,1.2,2023
Danuel House Jr.,PHILADELPHIA 76ERS,56,38,18,14.4,4.8,16.7,8.9,0.6,2.16,1.28,0.286,0.1,0.0,0.5,1.167,0.0,1.038,2023
Dario Saric,OKLAHOMA CITY THUNDER,57,26,31,14.1,6.4,23.7,13.9,0.7,1.72,0.83,0.268,0.9,0.5,2.0,0.593,0.667,0.85,2023
Darius Bazley,,43,19,24,14.3,5.2,23.2,11.3,0.8,2.04,1.17,0.224,0.9,0.2,1.9,0.622,0.5,0.738,2023
Darius Days,HOUSTON ROCKETS,4,0,4,6.2,3.8,10.8,5.5,0.2,1.19,0.14,0.349,0.0,0.0,0.0,0.0,0.0,0.0,2023
Darius Garland,CLEVELAND CAVALIERS,69,40,29,35.5,21.6,76.7,29.3,7.3,5.72,5.39,0.282,0.6,0.0,0.6,0.737,0.667,0.732,2023
David Duke Jr.,,23,10,13,9.9,3.7,13.9,6.8,0.8,3.6,3.03,0.266,0.0,0.0,0.5,0.0,0.0,0.818,2023
David Roddy,MEMPHIS GRIZZLIES,70,44,26,18.0,6.7,20.9,13.0,0.7,2.0,1.13,0.319,0.4,0.1,0.9,0.667,1.25,1.154,2023
Davion Mitchell,SACRAMENTO KINGS,80,47,33,18.1,5.6,35.1,12.7,2.6,4.53,4.43,0.16,0.1,0.0,0.4,0.545,0.0,0.719,2023
Davis Bertans,DALLAS MAVERICKS,45,20,25,10.9,4.6,13.3,8.0,0.3,1.23,0.44,0.344,0.2,0.0,0.3,0.444,0.0,0.533,2023
Davon Reed,LOS ANGELES LAKERS,43,29,14,8.0,2.1,14.6,7.1,0.7,2.8,2.06,0.142,0.1,0.1,0.3,0.0,0.0,0.286,2023
Day'Ron Sharpe,,48,22,26,11.5,4.7,18.8,11.4,0.5,1.72,0.69,0.252,1.5,0.4,4.2,0.527,0.368,0.797,2023
De'Aaron Fox,SACRAMENTO KINGS,73,44,29,33.4,25.0,78.2,24.5,6.6,5.04,4.67,0.32,0.3,0.1,0.7,0.609,0.667,1.0,2023
De'Andre Hunter,ATLANTA HAWKS,67,35,32,31.7,15.4,38.0,23.7,1.4,2.23,1.39,0.404,0.9,0.5,1.2,0.883,0.917,0.913,2023
De'Anthony Melton,PHILADELPHIA 76ERS,77,50,27,27.9,10.1,47.6,23.9,2.1,2.64,1.87,0.213,0.6,0.0,1.2,0.5,0.0,0.426,2023
DeAndre Jordan,DENVER NUGGETS,39,23,16,15.0,5.1,19.7,11.3,0.4,1.33,0.24,0.259,2.4,0.2,4.0,0.074,0.571,1.135,2023
DeMar DeRozan,CHICAGO BULLS,73,36,37,36.2,24.5,59.4,36.0,4.6,4.63,3.74,0.413,1.6,2.7,0.6,0.737,0.784,0.721,2023
Dean Wade,CLEVELAND CAVALIERS,44,30,14,20.3,4.7,22.5,12.9,0.6,1.67,0.5,0.208,0.3,0.0,0.6,0.267,0.0,0.926,2023
Deandre Ayton,,67,36,31,30.4,18.0,51.9,27.9,1.4,1.64,0.47,0.346,5.3,4.0,11.1,0.804,0.713,1.008,2023
Dejounte Murray,ATLANTA HAWKS,74,38,36,36.4,20.5,72.6,28.6,5.9,4.9,4.45,0.282,0.5,0.1,1.1,0.368,0.3,0.723,2023
Delon Wright,WASHINGTON WIZARDS,50,26,24,24.4,7.4,47.5,18.7,4.0,4.99,4.48,0.155,0.3,0.0,1.2,0.588,0.0,0.576,2023
Deni Avdija,WASHINGTON WIZARDS,76,33,43,26.6,9.2,44.8,21.6,2.1,2.81,2.06,0.205,0.7,0.1,1.9,0.648,0.25,0.651,2023
Dennis Schroder,LOS ANGELES LAKERS,67,37,30,29.6,12.4,54.8,23.2,4.3,4.76,4.16,0.226,0.2,0.0,0.3,0.429,0.0,0.476,2023
Dennis Smith Jr.,,54,19,35,25.7,8.8,53.9,22.8,3.8,4.23,3.85,0.163,0.3,0.1,0.9,0.722,0.5,0.843,2023
Deonte Burton,SACRAMENTO KINGS,2,1,1,3.3,0.0,2.0,1.5,0.0,1.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Dereon Seabron,NEW ORLEANS PELICANS,5,2,3,2.3,0.8,2.8,1.6,0.2,3.24,2.57,0.286,0.0,0.0,0.2,0.0,0.0,2.0,2023
Derrick Jones Jr.,CHICAGO BULLS,63,28,35,13.9,4.9,17.9,9.5,0.4,1.29,0.4,0.273,0.7,0.0,2.2,0.829,0.667,0.912,2023
Derrick Rose,NEW YORK KNICKS,27,12,15,12.5,5.6,26.9,10.7,1.9,4.25,3.86,0.21,0.2,0.0,0.4,0.667,0.0,1.0,2023
Derrick White,BOSTON CELTICS,82,57,25,28.3,12.4,47.6,20.3,3.2,4.05,3.43,0.26,0.5,0.0,1.1,0.533,0.0,0.708,2023
